"pointID","scenario","year","mat","map","gsp","mtcm","mmin","mtwm","mmax","sday","ffp","dd5","gsdd5","d100","dd0","smrpb","smrsprpb","mukey","SP_PA","SP_IV","SA_PA","SA_IV","LL_PA","LL_IV","PD_PA","PD_IV","LP_PA","LP_IV","SI","SISP","r_SDI"
37,"GFDLCM21_A2",2030,17.1,1349,766,5.6,-0.9,27,32.8,86,230,4493,3921,46,7,1.28,1.57,"811283",0.055,0.504622187325975,0.09,2.14329255067978,0.39,3.73203331946641,0.675,8.38751457950149,0.57,25.6233805750267,77.5628619047619,"PIPA2",0.922407256018859
37,"GFDLCM21_A2",2060,17.9,1324,766,5.7,-0.8,28.5,34.3,80,244,4794,4290,47,6,1.51,1.82,"811283",0.11,4.7263369480916,0.205,7.45339458777107,0.25,17.2848837108627,0.47,20.154968881726,0.51,34.2839299383497,76.0003666666667,"PIPA2",0.833672947423585
37,"GFDLCM21_A2",2090,20.3,1365,755,8.8,2.3,31.3,37.5,65,263,5621,5118,24,1,1.34,1.75,"811283",0.21,4.25526790526755,0.32,30.6368828497925,0.3,21.3427372860644,0.35,11.4408717587648,0.475,38.0870851914243,84.1664,"PIPA2",0.827034336649046
37,"GFDLCM21_B1",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811283",0.075,0.194663013150691,0.185,0.123519908811323,0.435,4.22561944210307,0.795,0.415326370586565,0.72,14.0144054574228,65.9989666666667,"PIPA2",1
37,"GFDLCM21_B1",2030,16.9,1316,714,6.6,0.2,27.4,33.6,87,226,4430,3825,41,4,1.23,1.58,"811283",0.085,0.992280122908826,0.16,2.17537126846357,0.415,3.27817485062668,0.765,3.5860908276859,0.565,14.8937958185213,78.9491,"PIPA2",0.973450297090016
37,"GFDLCM21_B1",2060,17.4,1339,772,5.6,-0.7,27.7,33.7,86,233,4612,4025,46,7,1.4,1.88,"811283",0.1,2.89644974820736,0.145,6.74772150032415,0.28,12.7638287332692,0.485,18.3419991551107,0.555,32.7171702756816,74.3887,"PIPA2",0.856182724068211
37,"GFDLCM21_B1",2090,18.1,1382,775,5.4,-1.2,28,34.1,76,250,4858,4266,40,8,1.43,1.79,"811283",0.16,6.32546863970869,0.19,5.08299227193565,0.29,14.929640499722,0.425,20.7042301958916,0.54,37.1939765739498,76.7825952380953,"PIPA2",0.853491046208456
37,"HADCM3_A2",1990,15.7,1199,648,4.5,-1.9,25.9,32.1,95,208,4047,3432,58,19,1.25,1.55,"811283",0.075,0.194663013150691,0.185,0.123519908811323,0.435,4.22561944210307,0.795,0.415326370586565,0.72,14.0144054574228,65.9989666666667,"PIPA2",1
37,"HADCM3_A2",2030,17.4,1188,597,5.7,-0.7,28.4,35.1,86,229,4632,4087,44,6,1.12,1.37,"811283",0.18,3.63364749235831,0.175,3.57852748434199,0.145,3.19110064877634,0.24,0.74860482992375,0.575,25.5179335361792,82.1245666666667,"PIPA2",0.846803461928585
37,"HADCM3_A2",2060,18.3,1295,682,5.5,-1,29.7,36.4,79,250,4956,4530,46,8,1.34,1.4,"811283",0.25,5.98695043630406,0.185,4.95428494327946,0.18,8.65722518375409,0.295,10.3472449202646,0.395,35.957352240075,83.8301,"PIPA2",0.757397963368717
37,"HADCM3_A2",2090,20.5,1375,770,7.1,0.5,32.3,39,63,265,5698,5301,34,1,1.6,2.1,"811283",0.235,9.00032841892848,0.28,19.2183943982998,0.305,19.717401728698,0.345,19.4452563115185,0.395,36.1631247777358,79.7528333333334,"PIPA2",0.783343113893686
